day,distance,condition,fixed_distance
2,154.56,Control,127.19
2,119.14,Control,91.77
2,112.7,Control,85.33
2,98.21000000000001,Control,70.84
2,86.94000000000001,Control,59.57000000000001
2,45.080000000000005,Control,17.710000000000004
2,122.36000000000001,Control,94.99000000000001
2,164.22,Control,136.85
2,172.27,Control,144.9
2,128.8,Control,101.43
2,103.04,Control,75.67
2,88.55000000000001,Control,61.18000000000001
2,69.23,Control,41.86
2,54.74,Control,27.37
2,72.45,Control,45.08
2,85.33,Control,57.959999999999994
2,96.60000000000001,Control,69.23
2,101.43,Control,74.06
2,109.48,Control,82.11
2,135.24,Control,107.87
2,114.31,Control,86.94
2,212.52,Control,185.15
2,133.63,Control,105.0525
2,106.26,Control,77.6825
2,80.5,Control,51.9225
2,117.53,Control,88.9525
2,96.60000000000001,Control,68.02250000000001
2,154.56,Control,125.9825
2,185.15,Control,156.5725
2,106.26,Control,77.6825
2,48.300000000000004,Control,19.7225
2,66.01,Control,37.432500000000005
2,72.45,Control,43.8725
2,101.43,Control,72.8525
2,115.92,Control,87.3425
2,106.26,Control,77.6825
2,135.24,Control,106.66250000000001
2,82.11,Control,53.5325
2,109.48,Control,80.9025
2,74.06,Control,45.4825
2,94.99000000000001,Control,66.41250000000001
2,98.21000000000001,Control,69.63250000000001
2,114.31,Control,85.7325
2,138.46,Control,109.88250000000001
2,141.68,Control,113.1025
2,114.31,Control,85.7325
2,112.7,Control,84.1225
2,132.02,Control,103.44250000000001
2,165.83,Control,137.2525
2,132.02,Control,103.44250000000001
2,91.77000000000001,Control,63.19250000000001
2,98.21000000000001,Control,69.63250000000001
2,85.33,Control,56.7525
2,141.68,Control,113.1025
2,159.39000000000001,Control,130.8125
2,146.51000000000002,Control,117.93250000000002
2,122.36000000000001,Control,93.78250000000001
2,135.24,Control,106.66250000000001
2,49.910000000000004,Control,21.3325
2,235.06,Control,206.4825
2,275.31,Control,246.7325
2,412.16,Control,383.58250000000004
2,394.45000000000005,Control,365.87250000000006
2,408.94,Control,380.3625
2,133.63,Control,106.25999999999999
2,172.27,Control,144.9
2,75.67,Control,48.3
2,49.910000000000004,Control,22.540000000000003
2,98.21000000000001,Control,70.84
2,181.93,Control,154.56
2,252.77,Control,225.4
2,209.3,Control,181.93
2,156.17000000000002,Control,128.8
2,214.13000000000002,Control,186.76000000000002
2,210.91000000000003,Control,183.54000000000002
2,223.79000000000002,Control,196.42000000000002
2,233.45000000000002,Control,206.08
2,291.41,Control,264.04
2,236.67000000000002,Control,209.3
